"E01000255",1481,703
"E01000256",1788,1002
"E01000257",1855,918
"E01000258",1658,886
"E01000259",2597,1356
"E01000260",1982,1042
"E01000261",1601,867
"E01000262",2260,1200
"E01000263",1581,989
"E01000264",1648,869
"E01000265",1927,972
"E01000266",1527,890
"E01000267",1520,786
"E01000268",1739,893
"E01000269",1425,750
"E01000270",1482,788
"E01000271",1469,723
"E01000272",1340,697
"E01000273",1520,706
"E01000274",1862,942
"E01000275",1637,768
"E01000276",1520,863
"E01000277",1591,752
"E01000278",1514,874
"E01000279",1449,848
"E01000280",1381,779
"E01000281",1260,679
"E01000282",1705,904
"E01000283",1430,765
"E01000284",1672,809
"E01000285",1449,683
"E01000286",1571,717
"E01000287",1589,748
"E01000288",1569,803
"E01000289",1817,854
"E01000290",1557,690
"E01000291",1575,686
"E01000292",1467,672
"E01000293",1722,889
"E01000294",1599,740
"E01000295",1714,950
"E01000296",1707,888
"E01000297",1434,697
"E01000298",1812,917
"E01000299",1809,927
"E01000300",1632,913
"E01000301",1539,825
"E01000302",1763,853
"E01000303",1567,838
"E01000304",1556,853
"E01000305",1657,759
"E01000306",1696,771
"E01000307",1655,736
"E01000308",1516,637
"E01000309",1822,957
"E01000310",2029,994
"E01000311",1632,1063
"E01000312",1672,765
"E01000313",1858,911
"E01000314",1865,961
"E01000315",1715,749
"E01000316",2312,1178
"E01000317",1613,762
"E01000318",1840,867
"E01000319",1500,786
"E01000320",1475,729
"E01000321",1635,835
"E01000322",1717,814
"E01000323",1982,948
"E01000324",1786,948
"E01000325",1610,825
"E01000326",1295,666
"E01000327",1543,725
"E01000328",1480,713
"E01000329",1316,610
"E01000330",1544,626
"E01000331",1630,716
"E01000332",1529,662
"E01000333",1666,720
"E01000334",1611,762
"E01000335",1794,871
"E01000336",1886,902
"E01000337",1653,819
"E01000338",1751,891
"E01000339",1530,726
"E01000340",1502,677
"E01000341",1490,675
"E01000342",1595,803
"E01000343",1535,810
"E01000344",1609,814
"E01000345",1355,695
"E01000346",1622,839
"E01000347",1486,684
"E01000348",1481,781
"E01000349",1659,858
"E01000350",1501,826
"E01000351",1586,729
"E01000352",1575,759
"E01000353",1686,790
"E01000354",1505,684
"E01000355",1464,660
"E01000356",1546,638
"E01000357",1457,785
"E01000358",1608,744
"E01000359",1280,608
"E01000360",1662,792
"E01000361",1540,766
"E01000362",1482,668
"E01000363",1441,689
"E01000364",1577,691
"E01000365",1678,721
"E01000366",1585,797
"E01000367",1575,678
"E01000368",1539,691
"E01000369",1618,747
"E01000370",1597,711
"E01000371",1545,732
"E01000372",1680,770
"E01000373",1574,749
"E01000374",1533,698
"E01000375",1476,648
"E01000376",1541,724
"E01000377",1420,616
"E01000378",2121,993
"E01000379",1680,804
"E01000380",1455,623
"E01000381",1598,671
"E01000382",1524,743
"E01000383",1505,630
"E01000384",1722,836
"E01000385",1866,885
"E01000386",1457,653
"E01000387",1535,701
"E01000388",1531,655
"E01000389",1649,763
"E01000390",1290,578
"E01000391",1709,841
"E01000392",1646,797
"E01000393",1581,742
"E01000394",1458,722
"E01000395",1428,725
"E01000396",1399,654
"E01000398",1599,720
"E01000399",1554,700
"E01000400",1547,680
"E01000401",1647,709
"E01000402",1536,736
"E01000403",2108,992
"E01000404",2234,1225
"E01000405",1410,730
"E01000406",1649,818
"E01000407",1480,574
"E01000408",1636,837
"E01000409",1649,849
"E01000410",1568,765
"E01000411",1398,637
"E01000412",1678,847
"E01000413",1301,632
"E01000414",1708,781
"E01000415",1498,725
"E01000416",1547,796
"E01000417",1639,721
"E01000418",1937,946
"E01000419",1461,635
"E01000420",1551,756
"E01000421",1482,658
"E01000422",1729,882
"E01000423",1638,811
"E01000424",1693,848
"E01000425",1752,870
"E01000426",1675,920
"E01000427",1932,890
"E01000428",1752,744
"E01000429",1639,825
"E01000430",1782,918
"E01000431",1672,798
"E01000432",1673,780
"E01000433",1810,853
"E01000434",1584,734
"E01000435",1406,667
"E01000436",1685,791
"E01000437",1322,605
"E01000438",1599,779
"E01000439",1368,643
"E01000440",1413,657
"E01000441",1598,747
"E01000442",1613,733
"E01000443",1276,629
"E01000444",1637,802
"E01000445",1641,809
"E01000446",1572,781
"E01000447",1535,807
"E01000448",1335,698
"E01000449",1495,721
"E01000450",1832,925
"E01000451",1699,863
"E01000452",1428,703
"E01000453",1472,757
"E01000454",1572,706
"E01000455",1705,849
"E01000456",1427,695
"E01000457",1783,873
"E01000458",1462,735
"E01000459",1687,763
"E01000460",1353,774
"E01000461",1662,876
"E01000462",1643,717
"E01000463",1254,609
"E01000464",1443,722
"E01000465",1542,718
"E01000466",1655,874
"E01000467",1634,904
"E01000468",2723,1716
"E01000469",1654,920
"E01000470",1443,719
"E01000471",1638,735
"E01000472",1346,662
"E01000473",1883,817
"E01000474",1999,916
"E01000475",1976,948
"E01000476",1618,749
"E01000477",1916,836
"E01000478",1641,698
"E01000479",1659,765
"E01000480",1749,888
"E01000481",1538,723
"E01000482",2886,1387
"E01000483",1745,804
